SVSPP,COMNAME,SCINAME,FISH,PD,TL
0,UNCLASSIFIED FISH,UNIDENTIFIED FISH,Y,NA,3.2
1,ATLANTIC HAGFISH,MYXINE GLUTINOSA,Y,NA,3.2
2,SEA LAMPREY,PETROMYZON MARINUS,Y,NA,3.2
3,DUSKY SHARK,CARCHARHINUS OBSCURUS,Y,NA,3.2
4,ROUGHTAIL STINGRAY,DASYATIS CENTROURA,Y,NA,3.2
5,RAY AND SKATE UNCL,RAJIFORMES,Y,NA,4.2
6,BASKING SHARK,CETORHINUS MAXIMUS,Y,NA,3.2
7,BLACK DOGFISH,CENTROSCYLLIUM FABRICII,Y,NA,3.2
8,ROUGH SAGRE,ETMOPTERUS PRINCEPS,Y,NA,3.2
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS,Y,NA,4.2
11,SHARK UNCL,SELACHIMORPHA,Y,NA,4.2
12,SAND TIGER,CARCHARIAS TAURUS,Y,NA,3.2
13,SMOOTH DOGFISH,MUSTELUS CANIS,Y,D,3.7
14,CHAIN DOGFISH,SCYLIORHINUS RETIFER,Y,NA,3.2
15,SPINY DOGFISH,SQUALUS ACANTHIAS,Y,P,4.3
16,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL,Y,NA,3.2
18,BLUNTNOSE STINGRAY,DASYATIS SAY,Y,NA,3.2
19,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,Y,NA,3.2
20,OCELLATE SKATES,RAJA ,Y,NA,3.5
21,ATLANTIC TORPEDO,TORPEDO NOBILIANA,Y,NA,3.2
22,BARNDOOR SKATE,DIPTURUS LAEVIS,Y,D,3.2
23,WINTER SKATE,LEUCORAJA OCELLATA,Y,D,3.7
24,CLEARNOSE SKATE,RAJA EGLANTERIA,Y,D,3.5
25,ROSETTE SKATE,LEUCORAJA GARMANI,Y,D,3.2
26,LITTLE SKATE,LEUCORAJA ERINACEA,Y,D,4
27,SMOOTH SKATE,MALACORAJA SENTA,Y,D,3.2
28,THORNY SKATE,AMBLYRAJA RADIATA,Y,D,3.7
29,SOUTHERN STINGRAY,DASYATIS AMERICANA,Y,NA,3.2
30,HERRING UNCL,CLUPEIDAE,Y,NA,3
31,ROUND HERRING,ETRUMEUS TERES,Y,P,3
32,ATLANTIC HERRING,CLUPEA HARENGUS,Y,P,3
33,ALEWIFE,ALOSA PSEUDOHARENGUS,Y,P,3
34,BLUEBACK HERRING,ALOSA AESTIVALIS,Y,P,3
35,AMERICAN SHAD,ALOSA SAPIDISSIMA,Y,P,3
