"SVSPP","COMNAME","SCINAME","FISH","PD","TL","six_names"
13,"smooth dogfish","MUSTELUS CANIS","Y","D",3.7,"smodog"
14,"chain dogfish","SCYLIORHINUS RETIFER","Y",NA,3.2,"chadog"
15,"spiny dogfish","SQUALUS ACANTHIAS","Y","P",4.3,"spidog"
22,"barndoor skate","DIPTURUS LAEVIS","Y","D",3.2,"barska"
23,"winter skate","LEUCORAJA OCELLATA","Y","D",3.7,"winska"
24,"clearnose skate","RAJA EGLANTERIA","Y","D",3.5,"cleska"
25,"rosette skate","LEUCORAJA GARMANI","Y","D",3.2,"rosska"
26,"little skate","LEUCORAJA ERINACEA","Y","D",4,"litska"
27,"smooth skate","MALACORAJA SENTA","Y","D",3.2,"smoska"
28,"thorny skate","AMBLYRAJA RADIATA","Y","D",3.7,"thoska"
32,"atlantic herring","CLUPEA HARENGUS","Y","P",3,"atlher"
33,"alewife","ALOSA PSEUDOHARENGUS","Y","P",3,"alewif"
34,"blueback herring","ALOSA AESTIVALIS","Y","P",3,"bluher"
35,"american shad","ALOSA SAPIDISSIMA","Y","P",3,"amesha"
36,"atlantic menhaden","BREVOORTIA TYRANNUS","Y","P",3,"atlmen"
69,"offshore hake","MERLUCCIUS ALBIDUS","Y","D",4.1,"offhak"
72,"silver hake","MERLUCCIUS BILINEARIS","Y","P",4.3,"silhak"
73,"atlantic cod","GADUS MORHUA","Y","D",4.3,"atlcod"
74,"haddock","MELANOGRAMMUS AEGLEFINUS","Y","D",4.3,"haddoc"
75,"pollock","POLLACHIUS VIRENS","Y","D",4.3,"polloc"
76,"white hake","UROPHYCIS TENUIS","Y","D",4.3,"whihak"
77,"red hake","UROPHYCIS CHUSS","Y","D",4.3,"redhak"
78,"spotted hake","UROPHYCIS REGIA","Y","D",4.3,"spohak"
84,"cusk","BROSME BROSME","Y","D",4,"cuskzz"
101,"atlantic halibut","HIPPOGLOSSUS HIPPOGLOSSUS","Y","D",3.2,"atlhal"
102,"american plaice","HIPPOGLOSSOIDES PLATESSOIDES","Y","D",3.2,"amepla"
103,"summer flounder","PARALICHTHYS DENTATUS","Y","D",3.2,"sumflo"
104,"fourspot flounder","PARALICHTHYS OBLONGUS","Y","D",3.2,"fouflo"
105,"yellowtail flounder","LIMANDA FERRUGINEA ","Y","D",3.2,"yelflo"
106,"winter flounder","PSEUDOPLEURONECTES AMERICANUS ","Y","D",3.2,"winflo"
107,"witch flounder","GLYPTOCEPHALUS CYNOGLOSSUS","Y","D",3.2,"witflo"
108,"windowpane","SCOPHTHALMUS AQUOSUS","Y","D",3.2,"window"
109,"gulf stream flounder","CITHARICHTHYS ARCTIFRONS","Y","D",3.1,"gulflo"
112,"buckler dory","ZENOPSIS CONCHIFERA","Y",NA,3.2,"bucdor"
121,"atlantic mackerel","SCOMBER SCOMBRUS","Y","P",3.4,"atlmac"
131,"butterfish","PEPRILUS TRIACANTHUS","Y","P",3.1,"butter"
135,"bluefish","POMATOMUS SALTATRIX","Y","P",4.5,"bluefi"
139,"striped bass","MORONE SAXATILIS","Y",NA,4.5,"strbas"
141,"black sea bass","CENTROPRISTIS STRIATA","Y","D",4,"blabas"
143,"scup","STENOTOMUS CHRYSOPS","Y","D",3.2,"scupzz"
145,"weakfish","CYNOSCION REGALIS","Y","P",3.1,"weakfi"
151,"tilefish","LOPHOLATILUS CHAMAELEONTICEPS","Y","D",3.2,"tilefi"
155,"acadian redfish","SEBASTES FASCIATUS","Y","D",4,"acared"
156,"blackbelly rosefish","HELICOLENUS DACTYLOPTERUS","Y","D",4,"blaros"
163,"longhorn sculpin","MYOXOCEPHALUS OCTODECEMSPINOSUS","Y","D",3.2,"lonscu"
164,"sea raven","HEMITRIPTERUS AMERICANUS","Y","D",3.2,"searav"
168,"lumpfish","CYCLOPTERUS LUMPUS","Y",NA,3.2,"lumpfi"
171,"northern searobin","PRIONOTUS CAROLINUS","Y","D",3.2,"norsea"
172,"striped searobin","PRIONOTUS EVOLANS","Y","D",3.2,"strsea"
176,"cunner","TAUTOGOLABRUS ADSPERSUS","Y","D",3.2,"cunner"
177,"tautog","TAUTOGA ONITIS","Y","D",3.2,"tautog"
